Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME50419;The J'ur Temple Debate;;;;;;;;;;;;;x
EVTDESC50419;The native faith of the local Asyum people is reflexively that of the Jur cosmological scriptures and the many fables and texts about their various Gods. With their closed and secretive temples, crypts, and schools, it is difficult to know exactly what Gods are being worshiped by the J'ur. The Wapkam company has issued several regulations to restrict the worship of the J'ur faithful, as it is an offense to the Imperial Godhood. Yet they retain their old temple precincts, which have again surfaced as a topic of debate in the Congress of Estates. Apparently, a watchman attempted to force his entry into a J'ur temple on the grounds of various anti-cult laws. The J'ur faithful attempted to appeal to a company court, claiming they are not a cult, like the barbarous jungle faiths, or the blasphemous Vewugists, and in fact claimed they recognise the Pudwou as equivalent with one of their old gods. Not all J'ur honour the Pudwou, however, and the Congress is debating revised regulations on J'ur worship.;;;;;;;;;;;;;x
EVTNAME50420;$FROMCOUNTRY$ Rejects Overlordship!;;;;;;;;;;;;;x
EVTDESC50420;Our recent efforts to meddle in $FROMCOUNTRY$'s government have ended in disaster. Rather than accepting the changes we imposed upon them, they have raised their flag in rebellion, and broken the seal of our government!;;;;;;;;;;;;;x
EVTNAME50421;The Asyum Question Debate;;;;;;;;;;;;;x
EVTDESC50421;Some time ago our government extended special privileges to the J'ur worshipers. Recently, a debate has emerged in the Congress of Estates about the status of the Asyum in general in society. As many years have passed, the Asyum J'ur have become, as it were, a second society to the Wapkam company, who have their allotted privileges within our state, and enjoy protection and security vis-a-vis the hoards of migrants that arrive daily at our shores. Certain factions in the Congress of Estates wish to extend representation of the Asyum temples in the Estates, to secure their loyalty to us, while others advocate for a strengthening of hereditary rights and privileges of the temples, and fashioning them into a subordinate guild hierarchy to ours. Still more members of the Estates reject outright these proposals, thinking that such innovations will be the end of Wapkami Society as we know it.;;;;;;;;;;;;;x
EVTNAME50422;Wapkam Extends Protection to Pagan Temples!;;;;;;;;;;;;;x
EVTDESC50422;Our spies and ambassadors in Wapkam have recently informed us that, recently, the Congress of Estates, the governors of the company, have passed a law, which has been approved by the President-Director, to elevate the J'ur temples to equal status to those maintained by the Imperial clergy in Wapkam! This is a horrendous insult to the Vopudwou, and tantamount to a denial of his divinity. The Congress alleges that the J'ur recognise, through their strange scriptures and many-faced Gods, the ultimate divinity of the Pudwou, and that their many strange Gods and Spirits are something akin to the divine-borrowing nobility and heroes of ancient Poumnia. This pathetic apology of their religious innovations has greatly angered the Imperial Clergy. While the Wapkam company has long been practically independent of us, the President-Director is still the titular viceroy of the Pudwou in the east, and this would be, at least, an embarrassment for us. ;;;;;;;;;;;;;x
EVTNAME50423;Imperial Clergy Declares Intention to Restore Orthodoxy;;;;;;;;;;;;;x
EVTDESC50423;Our recent choice to extend religious privileges to the J'ur of Wapkam, it seems, has greatly displeased the Imperial government in Poumnia! They are accusing the Wapkam company of apostasy, and have, it seems, declared an intention to restore "correct doctrines and divine honours in the ancestral customs" by force of military arms! The President-Director has declared that he is now the official head to the Wapkami state, and the Estates have convened to attempt to organise a military resistance.;;;;;;;;;;;;;x
pruuntish_submission;Crush Apostasy;;;;;;;;;;;;;x
pruuntish_submission_short;Crush Apostasy in $RECIPIENT$;;;;;;;;;;;;;x
pruuntish_submission_setup;Poumnia is attempting to puppet, sphere and restore Wompowushan as the sole state religion in $RECIPIENT$.;;;;;;;;;;;;;x
pruuntish_submission_desc;Poumnia is attempting to puppet, sphere and restore Wompowushan as the sole state religion in $RECIPIENT$ for challening the divinity of the Poumnian Emperor;;;;;;;;;;;;;x
NORMAL_WAR_NAME_POUMNIAN_APOSTASY;$ORDER$ War of $SECOND$ Apostasy;;;;;;;;;;;;;
AGRESSION_WAR_NAME_POUMNIAN_APOSTASY;$ORDER$ War of $SECOND$ Apostasy;;;;;;;;;;;;;
integration_of_strangers_act;Integration of Strangers Act;;;;;;;;;;;;;
intergreation_pathway_begun;Integration Pathway Begun;;;;;;;;;;;;;
guest_workers_act;Enacted Metic Laws;;;;;;;;;;;;;
ennected_guest_workers;Enacted Metic Laws;;;;;;;;;;;;;
protected_lands;Protected Lands;;;;;;;;;;;;;
guest_workers;The Metic Act;;;;;;;;;;;;;
new_overlordship;New Overlordship;;;;;;;;;;;;;
new_overlordship_desc;This country has only recently been subjugated, and is taking some time to get used to their new overlords.;;;;;;;;;;;;;
foriegn_rule;Foreign Rule;;;;;;;;;;;;;
foriegn_rule_desc;The elites and the government in this country is largely in the hands of citizens of their foriegn overlord.;;;;;;;;;;;;;
EVTNAME50414;Chaos in Poumnia!;;;;;;;;;;;;;x
EVTDESC50414;It appears the ancient might of the Pudwou has fallen. We are receiving reports that beyond the sea, rebel mobs have sacked Prousorum and deposed the very world soul in a traumatic and tumultuous rebellion. Politically, this changes very little for Wapkam. We have long been practically independent, but it certainly will challenge the reflexive faith of our people. What we have noticed, however, is a number of members of the old government have requested asylum in 'His Majesty's Extramarine Viceroyalty of Bafozh' as they continue to refer to us. The government must decide whether it is worth risking the ire of Poumnia to offer asylum for these old nobles.;;;;;;;;;;;;;x
EVTNAME50415;Extension of the Protected Lands?;;;;;;;;;;;;;x
EVTDESC50415;The recent efforts by the state to restrict foreign immigration and smooth the path of the integration of strangers has led to a particularly interesting debate in the congress of estates in the great fortress of the directory in Aincha. An increasingly xenophobic tendency has made itself manifest - the 'protectionist' party has come to argue that any invitation of foreigners into the old Wapkami territories and guilds is foolish and hopeless endeavour - indeed, the city of Aincha and its environs were closed to even provincial Wapkami Company members in the early thirteenth century. But, not naively, they suggest that new lands should be opened up for exploitation, in the jungles and in the northern plains, to accommodate new migrants who seek to submit to the Wapkam company, and then only after this should the old guilds and settlements should be totally protected, exclusive to Rashuum usage. ;;;;;;;;;;;;;x
EVTNAME50416;Gold Vein Struck!;;;;;;;;;;;;;x
